keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contact1,contact2,state_country_incorporation,congressional_district
Tova Earth Inc.,TOVA EARTH INC.,W886HL64A9L7,(blank),"55 Sheerman Lane,Amherst, Massachusetts,01002-1584, United States","55 Sheerman Lane,Amherst, Massachusetts,01002, United States",,"Jan 19, 2022","Alexandra Bruce, Ms","Alexandra Bruce, Ms","Delaware, United States",Massachusetts 02
"Quantum Sensor Technologies, LLC","QUANTUM SENSOR TECHNOLOGIES, LLC",PWTULSNA3WW5,9WYS3,"6401 Enchanted Solitude PL,Columbia, Maryland,21044-6024, United States","6401 Enchanted Solitude PL,Columbia, Maryland,21044-6024, United States",,"Feb 12, 2024",Birol Ozturk,Birol Ozturk,"Maryland, United States",Maryland 03
MiMoCloud,MIMOCLOUD INC,KS8VTNJSQ1D6,66K86,"9304 Belle Terre WAY,Potomac, Maryland,20854-4642, United States","9304 Belle Terre WAY,Potomac, Maryland,20854-4642, United States",,"Sep 4, 2010","Tejbir S Phool, Mr.","Tejbir S Phool, Mr.","Delaware, United States",Maryland 08
Zenith Data Solutions LLC,,,,"20454 Summersong Ln,Germantown, MD,20874-3937, USA",,,,,,,
Manta Pharma LLC,MANTA PHARMA LLC,NTKTDFEQLY78,(blank),"107 Alderwood DR,Gaithersburg, Maryland,20878-2681, United States","107 Alderwood DR,Gaithersburg, Maryland,20878-2681, United States",,"Jun 8, 2023",Raju Dave,Raju Dave,"Maryland, United States",Maryland 06
Cooling Clothing,INTERNATIONAL BUSINESS MANAGEMENT LLC,MZUSLMTR4M18,9EKR2,"8746 W Sunset Road,Niles, Illinois,60714-1823, United States","8746 W Sunset Road,Niles, Illinois,60714-1823, United States",https://www.theibmus.com/,"Feb 27, 2019","Omer Bakran, Executive Director","Omer Bakran, Executive Director","Illinois, United States",Illinois 09
Cooling Clothing,COMERCIALIZADORA T C R REPRESENTACIONES Y DISTRIBUCIONES E U,K3ESKU8NA277,A0EFZ,"2 C 06,Carrera 26 A,Bogota,(blank), Colombia","Carrera 26A # 2C 06,Bogota, Bogota,(blank), Colombia",,"Aug 8, 2005",Nubia Rojas,Nubia Rojas Torres,"(blank), Colombia",Not Applicable
Cooling Clothing,KONCENTRA USA CORP,KRLNVLF1D8Z1,763U9,"13551 SW 135TH AVE Unit 302,Miami, Florida,33186-5839, United States","13551 SW 135TH AVE STE 302,Miami, Florida,33186-5839, United States",http://koncentraltda.com/web/,"Jun 25, 2010","JAIRO CAJAMARCA, President","NIRIAM M PEREZ, Vicepresident","Florida, United States",Florida 28
Cooling Clothing,THE NATIONS COUNTY CLOTHING COMPANY LLC,PG1UJUGRP2W1,9NP91,"12320 Melling LN,Bowie, Maryland,20715-2953, United States","12320 Melling LN,Bowie, Maryland,20715, United States",,"Jun 5, 2023","DEREN J BLESSMAN, MR","DEREN J BLESSMAN, MR","Maryland, United States",Maryland 05
Cooling Clothing,COMMUNIGOV STRATEGIES CO.,KCTECA3WEBN5,9TDV4,"2424 Wylie AVE,Pittsburgh, Pennsylvania,15219-4530, United States","88 Roberts Street,Pittsburgh, Pennsylvania,15219, United States",,"Jan 10, 2024",Shinora G Johnson,Shinora G Johnson,"Pennsylvania, United States",Pennsylvania 12
