keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contact1,contact2,state_country_incorporation,congressional_district
Ashvattha Therapeutics Inc,"ASHVATTHA THERAPEUTICS, INC.",JK5CPL9WDQ85,9H5P4,"1235 Radio RD,STE 200,Redwood City, California,94065-1315, United States","1235 Radio ROAD, Suite 200,Redwood City, California,94065, United States",https://www.avttx.com/,"Sep 19, 2019","Sabrina Nieder, Controller","Elizabeth Torrelio, Head Program Management","Delaware, United States",California 15
"Beyond Reach Labs, Inc.","BEYOND REACH LABS, INC.",L4UYZ7S8RFP9,9RJU8,"5 Bayard RD APT 810,Pittsburgh, Pennsylvania,15213-1907, United States","5 Bayard RD APT 810,Pittsburgh, Pennsylvania,15213-1907, United States",https://www.beyondreachlabs.io/,"Nov 29, 2023",Mitchell Fogelson,Mitchell Fogelson,"Delaware, United States",Pennsylvania 12
"Datasembly, Inc.",DATASEMBLY INC,KY7CFJUMWP97,9DE97,"1775 Tysons BLVD,FL 5,Tysons, Virginia,22102-4284, United States","11816 Inwood RD #1489,Dallas, Texas,75244, United States",https://datasembly.com/,"May 27, 2014","Eric Zuckerman, VP Finance","Ian Saxton, Head of Sales","Delaware, United States",Virginia 11
"DOT Consulting, LLC",RED DOT CONSULTING LLC,R8KRXTVXTPS5,9FZL7,"2506 Coulter LN,Oakton, Virginia,22124-1033, United States","2506 Coulter LN,Oakton, Virginia,22124-1033, United States",https://www.rdc-i.com/,"Jul 22, 2021","John Barrass, President","John Barrass, President","Virginia, United States",Virginia 11
"DOT Consulting, LLC",PALE BLUE DOT CONSULTING LLC,JJUEEJRH5RG5,9YWA6,"8214 Riverboat DR,Tampa, Florida,33637-6577, United States","1630 58THE Avenue S APT 1,Saint Petersburg, Florida,33712, United States",https://pbdcs.com/,"Mar 14, 2024","Ryan C Countess, Chief Operating Officer","Eesa G Ali, Chief Executive Officer","Florida, United States",Florida 15
"DOT Consulting, LLC",,,,"59 HOOD STREET #2,LYNN, MA,01905-2100, USA",,,,,,,
"DOT Consulting, LLC",,,,"20 PARK PLZ STE 1118,null,BOSTON, MA,02116, USA",,,,,,,
"DOT Consulting, LLC",DANA TERRY,MZNEWKJ4ZZ91,9V1N2,"52 4 Dot LN,Belgrade, Montana,59714-7560, United States","52 4 Dot LN,Belgrade, Montana,59714-7560, United States",,"Mar 1, 2024",Dana Terry,Dana Terry,"Montana, United States",Montana 01
"Edessa, Inc.",,,,"42525 Edessa St,Palm Desert, CA,92211-0976, USA",,,,,,,
E-Pulse/Telliscope,"PRN ASSOCIATES, INCORPORATED",S69ZMP9NM5U9,3BXG8,"7601 E 88TH PLACE, #5,Indianapolis, Indiana,46256-1299, United States","7601 E 88TH PLACE, #5,Indianapolis, Indiana,46256-1299, United States",,,,,,
E-Pulse/Telliscope,,,,,,,,,,,
E-Pulse/Telliscope,,,,,,,,,,,
E-Pulse/Telliscope,JOURMIK LLC,ZYPETGFPAXN9,93S35,"13-53 Sunnyside DR,Fair Lawn, New Jersey,07410-4237, United States","13-53 Sunnyside DR,Fair Lawn, New Jersey,07410-4237, United States",,,,,,
E-Pulse/Telliscope,"ORRS' ENVIRONMENTAL, LLC",M1LHWD15KHJ6,301F8,"7027 Old Madison Pike NW STE 108,Huntsville, Alabama,35806, United States","P.O. Box 21192,Huntsville, Alabama,35813, United States",,,,,,
"Flourish and Thrive Labs, LLC","FLOURISH AND THRIVE LABS, LLC",YY7YBLR4LX35,9EWJ9,"140 Mallard Court,Grayslake, Illinois,60030-3411, United States","75 Commerce DR #692,Grayslake, Illinois,60030-9998, United States",https://www.fandtlabs.com/,"Jul 16, 2018","Jefferson E McMillan-Wilhoit, Mr","Juliana M McMillan-Wilhoit, Ms.","Illinois, United States",Illinois 10
"Fzata, Inc.",FZATA INC,SLGDVHJS1Y85,7HCP9,"1450 S Rolling RD,Halethorpe, Maryland,21227-3863, United States","1450 S Rolling RD,Halethorpe, Maryland,21227-3863, United States",,"Oct 6, 2015","Zhiyong Yang, CEO","Zhiyong Yang, CEO","Delaware, United States",Maryland 07
