keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contact1,contact2,state_country_incorporation,congressional_district
MARS Technology LLC,MARS TECHNOLOGY SERVICES LLC,G16YW56P69N9,9FVD3,"10270 E Taron DR APT 384,Elk Grove, California,95757-8237, United States","10270 E Taron DR APT 384,Elk Grove, California,95757-8237, United States",,"Mar 26, 2021","Michael Robinson, CEO","Michael Robinson, CEO","California, United States",California 07
MARS Technology LLC,EAGLE EYE CONSTRUCTION LLC,W9RHY4NRG8A3,9RE44,"135 Technology DR STE 204,Canonsburg, Pennsylvania,15317-9549, United States","135 Technology DR STE 204,Canonsburg, Pennsylvania,15317-9549, United States",https://eagleeyeservices.com/,"Apr 1, 2004",Todd J McKinney,Todd J McKinney,"Pennsylvania, United States",Pennsylvania 14
MARS Technology LLC,,,,,,,,,,,
Travel Rx LLC,RX ASSOCIATES LLC,DWH3L1DELF56,6RMX5,"2996 Jefferson Davis HWY,Stafford, Virginia,22554-1730, United States","P.O. Box 3535,Williamsburg, Virginia,23187, United States",,"Aug 1, 2009","Kimberly Armstead, COO","HITESH PATEL, Mr.","Virginia, United States",Virginia 07
Travel Rx LLC,,,,,,,,,,,
Digital Network Group,"DIGITAL GROUP, LLC",MJG3TUKLX2N4,8HU95,"913 Myatt Industrial DR,Madison, Tennessee,37115-2429, United States","913 Myatt Industrial Drive,Madison, Tennessee,37115-2429, United States",https://www.digitalgroupllc.com/,"Jun 22, 2006",Michael Bohannon,"Robin Schaffer, Controller","Tennessee, United States",Tennessee 06
Digital Network Group,"COMPUTER EXPERTS GROUP, LTD.",D7PNMPRW5CM3,82WJ1,"19 Cross ST,Katonah, New York,10536-1121, United States","Pob 25,Katonah, New York,10536-0025, United States",http://www.computerexpertsgroup.com/,"Jan 9, 2002",Michael Schechter,Michael Schechter,"New York, United States",New York 17
Digital Network Group,"TENNESSEE INDEPENDENT TELECOMMUNICATIONS GROUP, LLC",LNXEQDV7LGW1,9HPP4,"211 Commerce ST,STE 610,Nashville, Tennessee,37201-1806, United States","211 Commerce ST.,Suite 610,Nashville, Tennessee,37201, United States",https://www.irisnetworksusa.com/,"Nov 25, 1998","Sheryl Kilgore, CFO","Steven Brownworth, VP, Regulatory and Vendor Management","Tennessee, United States",Tennessee 07
Digital Network Group,RIDGENET NETWORK GROUP LLC,T7XMRJ983RJ5,9CWY6,"6833 N Highway 1247,Science Hill, Kentucky,42553-9127, United States","6833 N Highway 1247,Science Hill, Kentucky,42553-9127, United States",https://www.ridgenet.us/,"Feb 17, 2012","Tim Roy, COO","Alex Wilson, CFO","Kentucky, United States",Kentucky 05
Digital Network Group,FRANKLIN VEHICLE GROUP LLC,ZZ52P6VATK48,9HW25,"1104 Cortez RD,Lake Ariel, Pennsylvania,18436-4403, United States","1104 Cortez RD,Lake Ariel, Pennsylvania,18436-4403, United States",,"Dec 18, 2021",David Ziembicki,David Ziembicki,"Pennsylvania, United States",Pennsylvania 08
