keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contact1,contact2,state_country_incorporation,congressional_district
CaMelia,YOUTH AND FAMILY OUTREACH,EZH6BNC6RZ95,(blank),"331 Cumberland AVE,Portland, Maine,04101-2957, United States","331 Cumberland AVE.,Portland, Maine,04101-2957, United States",https://www.yfoutreachme.org/,"Jan 1, 1979","Camelia Babson-Haley, Executive Director","Camelia Babson-Haley, Executive Director","Maine, United States",Maine 01
CaMelia,RIVERSIDE FARMS PARTNERSHIP,FRHTTM1HA9Q9,76PT4,"98 Pleasant Grove RD,Sardis, Mississippi,38666-2616, United States","98 Pleasant Grove RD,Sardis, Mississippi,38666-2616, United States",,"Feb 1, 1985","Camelia K Lott, BKPR","Camelia K Lott, BKPR","Mississippi, United States",Mississippi 02
CaMelia,CHANGE CONQUERS INC.,HVGEZBRHTLZ3,9DZR7,"87 Orlando Drive,Sicklerville, New Jersey,08081-4492, United States","525 Route 73 North,STE 104,Marlton, New Jersey,08053, United States",,"Mar 17, 2022",CAMELIA J VIERA,CAMELIA J VIERA,"New Jersey, United States",New Jersey 01
CaMelia,GETMONEYFORTHECULTURE LLC,TF49YW1KH2L8,9XSL6,"6461 Privette RD Lot 99,Wendell, North Carolina,27591-9260, United States","6461 Privette RD Lot 99,Wendell, North Carolina,27591-9260, United States",,"Apr 22, 2022",Camelia Alston,Camelia Alston,"North Carolina, United States",North Carolina 02
CaMelia,,,,"Strada del Tormeno 189,Tormeno (VI), Veneto,36100, ITA",,,,,,,
MACER,GIFFORD BIOSCIENCE LIMITED,S5NXYF5SE3S1,U1N81,"The Biohub Birmingham,Birmingham Research Park,Birmingham,B15 2SQ, United Kingdom","The Biohub Birmingham,Birmingham Research Park,Birmingham,B15 2SQ, United Kingdom",https://www.giffordbioscience.com/,"Feb 6, 2017","Macer Gifford, Mr","Macer Gifford, Mr","(blank), United Kingdom",Not Applicable
MACER,CLINTONS TRUCKING INC,PA36KC58ARX9,9Q8V5,"350 Hulett ST,Schenectady, New York,12307-1312, United States","350 Hulett ST,Schenectady, New York,12307-1312, United States",,"Mar 18, 2021",Macer Clinton,Macer Clinton,"New York, United States",New York 20
Karaman Language Solutions,"KARAMAN LANGUAGE SOLUTIONS, LLC",J5LLMNDMRVW1,8CD26,"23592 Buckland Farm TER,Ashburn, Virginia,20148-6305, United States","23592 Buckland Farm TER,Ashburn, Virginia,20148-6305, United States",https://www.karamandc.com/,"Nov 21, 2017","Mukaddes Sahin, Founder and President","Mukaddes Sahin, Founder and CEO","Virginia, United States",Virginia 10
Aquatic Circle LLC,AQUATIC CIRCLE LLC,UTC8F226B8N7,(blank),"13807 Briarwood DR SW,Cumberland, Maryland,21502-6503, United States","13807 Briarwood DR SW,Cumberland, Maryland,21502, United States",,"Apr 7, 2023",Dung Hoang,Dung Hoang,"Maryland, United States",Maryland 06
Aquatic Circle LLC,"AQUATIC RESOURCES CENTER, INC",L89BZLDHJWM5,4CAC3,"545 Cathy Jo CIR,Nashville, Tennessee,37211-3233, United States","545 Cathy Jo Circle,Nashville, Tennessee,37211-3233, United States",,"Oct 1, 1990","Todd W Askegaard, President",Todd W Askegaard,"Tennessee, United States",Tennessee 05
