keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contact1,contact2,state_country_incorporation,congressional_district
"Act2End, LLC",ACT2END LLC,X8E8G4KQVSD3,9H7B7,"1190 West Northern Parkway,APT 910,Baltimore, Maryland,21210-1458, United States","1190 West Northern Parkway,APT 910,Baltimore, Maryland,21210, United States",https://www.act2endcoaching.com/,"May 16, 2022","Diandra Poe, Dr.","Diandra Poe, Dr.","Maryland, United States",Maryland 02
Ballmecca Inc.,BALLMECCA INC.,DLPVMSGG4KJ7,9FWX3,"4709 Harford Road #163,Baltimore, Maryland,21214-3261, United States","4709 Harford Road #163,Baltimore, Maryland,21214-3261, United States",https://ballmecca.com/,"Oct 1, 2022","Enmanuel Madera, CEO","Enmanuel Madera, CEO","Delaware, United States",Maryland 07
Alchemity,"ALCHEMITY, L.L.C.",E8SLCK31N8M8,(blank),"9469 Lovat RD,Fulton, Maryland,20759-9638, United States","9469 Lovat RD,Fulton, Maryland,20759-9638, United States",https://alchemity.tech/,"Aug 19, 2021","Eric Wachsman, Executive Chair","Eric Wachsman, Executive Chair","Maryland, United States",Maryland 03
Lica-Tech Inc.,"PRN ASSOCIATES, INCORPORATED",S69ZMP9NM5U9,3BXG8,"7601 E 88TH PLACE, #5,Indianapolis, Indiana,46256-1299, United States","7601 E 88TH PLACE, #5,Indianapolis, Indiana,46256-1299, United States",,,,,,
Lica-Tech Inc.,MCDANIEL FARMS INC,EK28CNM2ZYW8,7L4B1,"81745 Blue Mound RD,Sargent, Nebraska,68874-4117, United States","81745 Blue Mound RD,Sargent, Nebraska,68874-4117, United States",,,,,,
Lica-Tech Inc.,"SPECIAL COMMUNICATIONS, LLC",JXZVBZ8FZJL6,1QQG2,"2838 Croix CT,Virginia Beach, Virginia,23451-1365, United States","2838 Croix CT,Virginia Beach, Virginia,23451-1365, United States",,,,,,
Lica-Tech Inc.,JOURMIK LLC,ZYPETGFPAXN9,93S35,"13-53 Sunnyside DR,Fair Lawn, New Jersey,07410-4237, United States","13-53 Sunnyside DR,Fair Lawn, New Jersey,07410-4237, United States",,,,,,
Lica-Tech Inc.,"ORRS' ENVIRONMENTAL, LLC",M1LHWD15KHJ6,301F8,"7027 Old Madison Pike NW STE 108,Huntsville, Alabama,35806, United States","P.O. Box 21192,Huntsville, Alabama,35813, United States",,,,,,
QubitSolve Inc.,QUBITSOLVE INC.,R7ATY9SFJ241,9D5F4,"781 Chestnut Ridge RD STE 1000,Morgantown, West Virginia,26505-0013, United States","2006 White Oak DR,Morgantown, West Virginia,26505, United States",https://www.qubitsolve.com/,"May 4, 2022","Madhava Syamlal, CEO","Madhava Syamlal, CEO","Delaware, United States",West Virginia 02
CooperSoft,COOPERSOFT INC.,VCZ1ANBRUTX5,42MZ4,"3407 Dunwood Crossing DR,Bowie, Maryland,20721-1266, United States","3407 Dunwood Crossing DR.,Bowie, Maryland,20721-1266, United States",http://www.coopersoft.com/,"Jul 29, 2005","JEFFREY Cooper, CEO","JEFFREY Cooper, CEO","Maryland, United States",Maryland 05
