keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contacts,state_country_incorporation,congressional_district
CurveAssure,,,,"2720 Dillon St,Baltimore, MD,21224-4707, USA",,,,[],,
Aidin,"993 HOLDING COMPANY, LLC",NQTWT5VNZPC6,11HS0,"710 Water ST,Darby, Montana,59829-9712, United States","710 Water ST,Darby, Montana,59829-9712, United States",,"Mar 11, 2025","['Aidin Ansari', 'Devon Craychee']","Montana, United States",Montana 01
Aidin,DGW TRANSPORTATION LLC,N5LEHA2ELSB4,9NPU7,"1510 N Harrison BLVD,Boise, Idaho,83702-2553, United States","1510 N Harrison BLVD,Boise, Idaho,83702-2553, United States",,"Aug 20, 2019",['Aidin Ansari'],"Colorado, United States",Idaho 02
Aidin,"TM ENERGETICS, INC.",RYY4EF3KD6V4,9WYL1,"7 Tally Ho LN,Framingham, Massachusetts,01701-3758, United States","7 Tally Ho LN,Framingham, Massachusetts,01701-3758, United States",https://tmenergetic.com/,"May 16, 2024",['Aidin Panahi'],"Delaware, United States",Massachusetts 05
Aidin,AIDIN TECHNOLOGIES PRIVATE LIMITED,JKG5GXYFC6G1,SYB13,"4022/A 1ST CROSS, Hal 2ND Stage Indira NAGAR,,Bangalore, Karnataka,560038, India","53/3-1 Kcdc Road Somasundarapalya Road,Kudlu Gram Gate Hosur Road,Bangalore, Karnataka,560068, India",,"Oct 12, 2008",['Harish Harohalli'],"(blank), India",Not Applicable
Aidin,"AIDIN, INC.",S9NXMGKQ2JM5,79F08,"300 Clinton AVE APT 3,Brooklyn, New York,11205-4753, United States","228 Park AVE S,Pmb 74445,New York, New York,10003-3067, United States",https://www.myaidin.com/,"Dec 27, 2011",['Chip Gerstenmaier'],"Delaware, United States",New York 07
Aidin,LA MISERICORDIA HOME CARE SERVICE LLC,QXYDV93X4LS4,87TV3,"1620 Mcclelland AVE # 2,Laredo, Texas,78040-4630, United States","1620 Mcclelland AVE # 2,Laredo, Texas,78040-4630, United States",,"Apr 29, 2009",['Mario Martinez'],"Texas, United States",Texas 28
Somnair (FKA SomnOSA),"SOMNAIR, INC",CPVVSA2KY5U3,(blank),"307 Washington AVE,Towson, Maryland,21204-4715, United States","307 Washington AVE,Towson, Maryland,21204-4715, United States",https://www.somnairsleep.com/,"Jul 3, 2024",['Anders Sideris'],"Delaware, United States",Maryland 02
Fetal Therapy Technologies,FETAL THERAPY TECHNOLOGIES LLC,PKFAVKTBQMN9,0QE35,"7207 Verbena RD,Baltimore, Maryland,21209-1035, United States","7207 Verbena RD,Baltimore, Maryland,21209, United States",,"May 8, 2024",['Selena Shirkin'],"Maryland, United States",Maryland 02
Aptabridge Therapeutics Inc.,"APTABRIDGE THERAPEUTICS, INC.",UCYJY5RP56P6,9TD41,"516 South Patterson Park Avenue,Baltimore, Maryland,21231-3132, United States","516 S Patterson Park AVE,Baltimore, Maryland,21231, United States",https://www.aptabridge.com/,"Dec 27, 2021",['Wayne Cottle'],"Delaware, United States",Maryland 07
