keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contacts,state_country_incorporation,congressional_district
Domini,CENTRO STUDI DI GEOPOLITICA E STRATEGIA MARITTIMA,NDDAYF1BHC28,AU144,"Viale Dante Alighieri 22,Vittorio Veneto,31029, Italy","Viale Dante ALIGHIERI, 22,Vittorio Veneto, Treviso,31029, Italy",,"Feb 16, 2021","['Roberto Domini', 'Ludovico Domini']","(blank), Italy",Not Applicable
Domini,BLACKMERE TALENT ACQUISITION & CONSULTING LLC,NP91M2JFAFN6,6RCL4,"303 Coopers Crown LN,Austin, Texas,78738-1803, United States","1606 Headway Circle #9053,Austin, Texas,78754, United States",https://blackmereconsulting.com/government/,"Apr 22, 2011","['Megan Rueckert', 'Domini Clark']","Texas, United States",Texas 10
Domini,,,,"3131 SW 89TH ST,OKLAHOMA CITY, OK,73159-7905, USA",,,,[],,
Domini,OPTDX INC.,EK75M3L1RAY1,8RBP6,"11491 Old Ranch RD,Los Altos Hills, California,94024-6332, United States","11491 Old Ranch RD,Los Altos Hills, California,94024-6332, United States",https://www.optdx.com/,"Sep 2, 2020","['Jonathan Waldern', 'Domini Kelly']","California, United States",California 18
Domini,"ANGELUS DOMINI STAFFING SERVICES, LLC",UARKFDLGHXE6,8TLF7,"16610 Mystic Harbor LN,Houston, Texas,77095-4597, United States","16610 Mystic Harbor LN,Houston, Texas,77095-4597, United States",https://www.angelusdoministaffing.com/,"Oct 1, 2017",['Ramyr Martinez'],"Texas, United States",Texas 07
Domini,ANCILLA DOMINI COLLEGE INC,EL2FMAG72M81,4FP13,"9601 Union RD,Plymouth, Indiana,46563-9475, United States","PO Box 1,Donaldson, Indiana,46513-0001, United States",https://ancilla.edu/,"Aug 1, 1966","['Marcella Hopple', 'Kristin Rust']","Indiana, United States",Indiana 02
Domini,"VIA DOMINI LOGISTICS, LLC",S1DEAL82E2K4,9EVJ0,"9536 Princeton SQ BLVD South,Jacksonville, Florida,32256-0322, United States","8685 Baymeadows RD E 1302,Jacksonville, Florida,32256, United States",,"Aug 22, 2022",['Roguens Stinvil'],"Florida, United States",Florida 05
Domini,DTP THERMOELECTRICS LLC,NX9GVNE3UKP1,8SN84,"650 Sierra Madre Villa AVE STE 201,Pasadena, California,91107-2068, United States","650 Sierra Madre Villa AVE,STE 201,Pasadena, California,91107-2068, United States",https://dtpthermoelectrics.com/,"Jun 17, 2020","['Lon Bell', 'Domini Rolette', 'Doug Crane']","California, United States",California 28
Domini,ANGELUS DOMINI GROUP L.L.C,QFTMN1BYHQS3,82BB8,"540 Brickell Key DR APT 1203,Miami, Florida,33131-2845, United States","540 Brickell Key DR APT 1203,Miami, Florida,33131-2845, United States",,"Oct 12, 2017",['Barbara Charris'],"Florida, United States",Florida 27
Domini,NEW DOMINION CHORALE INC,DU6XDK1DCSM1,947G1,"7115 Penguin PL,Falls Church, Virginia,22043-1504, United States","P.O. Box 6691,Mclean, Virginia,22106, United States",https://www.newdominion.org/,"Jan 1, 1991","['Susan Gorsky', 'Tina Mcmahan', 'Susan Gilbert']","Virginia, United States",Virginia 08
UNMUTED,PRECIOUS JEWELS OF GOD,VD5CWE5SELA5,9WVQ9,"111 N Wabash AVE STE 100,Chicago, Illinois,60602-1903, United States","111 N Wabash AVE STE 100,Chicago, Illinois,60602-1903, United States",,"May 15, 2023",['Ericka Dozie'],"Illinois, United States",Illinois 07
UNMUTED,"UNMUTED CONSUMER INSIGHTS, LLC",XXRXF9MSF4L1,91J44,"36275 Crompton CIR,Farmington Hills, Michigan,48335-2010, United States","36275 Crompton CIR,Farmington Hills, Michigan,48335-2010, United States",https://unmutedci.com/,"Feb 8, 2021",['Bridget Millar'],"Michigan, United States",Michigan 11
Higher Grounds,"HIGHER GROUNDS TRAVERSE CITY, INC",LQFJME12Q3H7,8F0E5,"806 Red DR STE 150,Traverse City, Michigan,49684-4722, United States","806 Red DR STE 150,Traverse City, Michigan,49684-4722, United States",,"Sep 27, 2002",['Mike Anderson'],"Michigan, United States",Michigan 01
LifeGene-Biomarks,LIFEGENE- BIOMARKS INC,GGR9ABCTBGG5,7RTK5,"1612 AVE Ponce De Leon,San Juan, Puerto Rico,00909-1833, United States","1612 Avenida Ponce De Leon,First Floor,San Juan, Puerto Rico,00909-1833, United States",,"Oct 5, 2009",['Rafael Guerrero'],"Puerto Rico, United States",Puerto Rico 98
