keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contacts,state_country_incorporation,congressional_district
Neuroene Therapeutics,NEUROENE THERAPEUTICS INC,FE9HTJ2TLGY5,7EGQ1,"3 Torrance CT,Kensington, Maryland,20895-2842, United States","3 Torrance CT,Kensington, Maryland,20895-2842, United States",,"Jan 1, 2022",['Sherine Chan'],"Delaware, United States",Maryland 08
Blaster,"BLASTER SERVICES, L.L.C.",TSKJW16Q6NG3,8D2J5,"14375 Bluff Pass DR,Prairieville, Louisiana,70769-3287, United States","14375 Bluff Pass DR,Prairieville, Louisiana,70769-5268, United States",,"Jul 19, 2019",['Keith Robinson'],"Louisiana, United States",Louisiana 02
Blaster,"B & B BLASTER, LLC",JYNMF7JYZ1Q3,8JA72,"15504 Broadfording RD,Clear Spring, Maryland,21722-1504, United States","15504 Broadfording Road,Clear Spring, Maryland,21722, United States",,"May 16, 2013",['Eric Bender'],"Maryland, United States",Maryland 06
Blaster,WEED BLASTER,UVGPL58KT687,7DA66,"611 9TH AVE E,Dickinson, North Dakota,58601-5484, United States","611 9TH AVE E,Dickinson, North Dakota,58601, United States",,"Aug 6, 2013",['Clint Miles'],"North Dakota, United States",North Dakota 00
Blaster,BLASTER TECH,Z5ECMHV5AEA5,9SG15,"20013 Thornlake AVE,Cerritos, California,90703-7654, United States","20013 Thornlake AVE,,Cerritos, Ca, California,90703-7654, United States",https://www.blastertek.com/,"Nov 15, 1993",['Goan Tjhan'],"California, United States",California 45
Blaster,SOLAR BLASTER LLC,S4B5M4WKLZU8,9NEX1,"16530 E Laser DR,STE 6,Fountain Hills, Arizona,85268-6598, United States","16530 E Laser DR,STE 6,Fountain Hills, Arizona,85268-6598, United States",https://www.solarblasterfans.com/,"Mar 11, 2011",['Tammy Rheaume'],"Arizona, United States",Arizona 01
Blaster,"CRETE BLASTER, LLC",U9RDUANHQ3Q5,9VA86,"737 E Morse ST,Dillon, Montana,59725-3021, United States","PO Box 172,Dillon, Montana,59725, United States",,"Mar 22, 2024",['Cody Zimmmerman'],"Montana, United States",Montana 01
Blaster,BIRD BLASTER OF NEW MEXICO,YXKHTPA9XWM1,52R73,"30931 Graceland DR,Albuquerque, New Mexico,87110-0000, United States","5607 Euclid NE,Albuquerque, New Mexico,87110-0000, United States",,"Mar 17, 2004",['Ron Thomas'],"(blank), (blank)",(blank)
Blaster,MASTER BLASTER OF COOS BAY LLC,E8SGNJGM5K45,91WP2,"93759 Bay Park LN,Coos Bay, Oregon,97420-3783, United States","PO Box 21,Coos Bay, Oregon,97420-3783, United States",https://www.masterblastercb.com/,"Apr 26, 2021",['Ann Velazquez'],"Oregon, United States",Oregon 04
Blaster,BLASTER COMMUNICATIONS INC,JH6FM33MFLY1,6F0T6,"29349 Fall Classic,Lake Elsinore, California,92530-4698, United States","29349 Fall Classic,Lake Elsinore, California,92530-4698, United States",https://www.tamperevidentbag.com/,"Jun 1, 2004",['Bobby Laster'],"California, United States",California 41
Blaster,MASTER BLASTER INC,RTZHL2ZWKKA3,3BGH5,"7287 Cole Vw,Colorado Springs, Colorado,80915-9704, United States","7287 Cole View,7287 Cole View,Colorado Springs, Colorado,80915-9704, United States",,"May 1, 1990","['David Dillinger', 'Laura Rhodes']","Colorado, United States",Colorado 05
Sommos,,,,"AVENIDA ALMIRANTE BARROSO 00091 SAL 507 SAL 508,CENTRO,RIO DE JANEIRO,20031-916, BRA",,,,[],,
CurieDx,"CURIEDX, INC",QUJ8BQ1CFAS2,95J39,"634 Regester AVE,Baltimore, Maryland,21212-1917, United States","101 W. Chesapeake AVE,#27440,Towson, Maryland,21285, United States",https://www.curiedx.com/,"Feb 23, 2021",['Therese Canares'],"Maryland, United States",Maryland 02
Nanocrine,"NANOCRINE, INC.",QH88DLKTLQM6,8KNM5,"4359 Metropolitan CT # 260,Frederick, Maryland,21704-9452, United States","4539 Metropolitan CT # 260,Frederick, Maryland,21704-9452, United States",,"Oct 29, 2018",['Patrick Calhoun'],"Delaware, United States",Maryland 06
Best Possible,INFORMATION SYSTEMS SECURITY EXPERTS,HQHMFTCVBCK1,75E40,"7622 Pleasantville WAY,Grovetown, Georgia,30813-1220, United States","7622 Pleasantville WAY,Grovetown, Georgia,30813, United States",http://www.is2e.org/,"Jun 16, 2014",['Pedro Collado'],"Georgia, United States",Georgia 12
