keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contacts,state_country_incorporation,congressional_district
"IM Technologies, LLC",IM TECHNOLOGIES LLC,LM98CNVAUTG5,8ETM5,"24 Robinson ST,Shoreham, New York,11786-2128, United States","24 Robinson ST,Shoreham, New York,11786-2128, United States",https://www.imtechllc.com/,"May 14, 2019",['Vasily Jorjadze'],"New York, United States",New York 01
Tastee Tape,"TASTEE TAPE, INC.",G3GNQMXESNU3,114L3,"14560 Kittridge ST,Los Angeles, California,91401, United States","7 Penn Plaza,9TH Floor,New York City, New York,10001-3992, United States",,"May 28, 2024",['Marie Eric'],"Delaware, United States",California 29
Acadian R&D,ACADIAN RESEARCH & DEVELOPMENT LLC,Y3M9AQF9LKJ4,8GTH3,"1482 Commerce DR,Unit X,Laramie, Wyoming,82070-7041, United States","1482 Commerce DR Unit X,Laramie, Wyoming,82070-7041, United States",https://acadianrd.com/,"Nov 7, 2019",['Anthony Richard'],"Wyoming, United States",Wyoming 00
Mizar Therapeutics,MIZAR THERAPEUTICS INC.,QTYLAVN4EJR6,9UUM6,"7 Mbl ST,Lillie 220,Woods Hole, Massachusetts,02543-1015, United States","PO Box 73,Woods Hole, Massachusetts,02543, United States",,"Dec 22, 2022","['Joel Smith', 'Onjale Scott']","Delaware, United States",Massachusetts 09
CRS,RED RIVER FARMS,RPNLNKP43BK3,78GB4,"16100 Crs,Childress, Texas,79201, United States","16100 Crs,Childress, Texas,79201, United States",,"Nov 1, 1992",['Rickey Husband'],"Texas, United States",Texas 13
CRS,,,,"1299 LOUISIANA AVE,AKRON, OH,44314-2224, USA",,,,[],,
CRS,,,,"3174 SMILEY RD,BRIDGETON, MO,63044-3042, USA",,,,[],,
CRS,,,,"1059 EAGON ST,BARBERTON, OH,44203-1603, USA",,,,[],,
CRS,,,,"720 E OMAHA ST,RAPID CITY, SD,57701-1609, USA",,,,[],,
CRS,,,,"10306 REMINGTON DR,FL 2,HAGERSTOWN, MD,21740-1483, USA",,,,[],,
CRS,,,,"215 JAMESTOWN PARK STE 201,BRENTWOOD, TN,37027-7500, USA",,,,[],,
CRS,,,,"900 RUE DE LA PAIX UNIT 100,null,CINCINNATI, OH,45220-1049, USA",,,,[],,
CRS,,,,"2710 NW SHERLOCK AVE,PORTLAND, OR,97210-1545, USA",,,,[],,
CRS,,,,"2714 S GENESEE AVE,LOS ANGELES, CA,90016-2416, USA",,,,[],,
