keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contacts,state_country_incorporation,congressional_district
Immutiverse,"IMMUTIVERSE, INC.",ZTSPKR7PX999,9ZXN2,"609 Capitol Mall Unit 527,Sacramento, California,95814-4781, United States","447 Sutter Street,Suite 405 #390,San Francisco, California,94108, United States",,"May 9, 2024",['Jeanine Johnson'],"Delaware, United States",California 07
LOGOS LLC,"LOGOS ENTERTAINMENT, LP",XW5XNM87CTA3,84F69,"30 Colgate DR,Rancho Mirage, California,92270-3723, United States","30 Colgate Drive,Rancho Mirage, California,92270, United States",https://b2bvb.com/,"Jan 15, 2009",['Carole Krechman'],"California, United States",California 36
LOGOS LLC,FOUR SISTERS LLC,LFTRHK8ZM8L6,7TXE7,"2596 Brighton CIR,Biloxi, Mississippi,39531-2748, United States","2596 Brighton CIR,Biloxi, Mississippi,39531-2748, United States",https://www.foundationsbrafittings.com/,"Oct 1, 2014",['Melissa Logos'],"Mississippi, United States",Mississippi 04
LOGOS LLC,"LOGOS ENTERPRISES, INC",KQZ4R392RZQ3,1ZCQ0,"360 Quality CIR NW Unit B220,Huntsville, Alabama,35806-4548, United States","360B Quality CIR NW,Suite 220,Huntsville, Alabama,35806, United States",https://www.logos-ent.com/,"Nov 29, 2000","['Lori Brooks', 'Randall Wood', 'Wendy Cousins']","Alabama, United States",Alabama 05
LOGOS LLC,,,,"4729 CONCORD VILLAGE DR,LAS VEGAS, NV,89108, USA",,,,[],,
LOGOS LLC,,,,"1025 ADAMS CIR,BOULDER, CO,80303-1821, USA",,,,[],,
LOGOS LLC,,,,"747 W 18th St Ste B,null,Houston, TX,77008-3529, USA",,,,[],,
LOGOS LLC,,,,"245 HILL RD,null,ROME, NY,13441-4203, USA",,,,[],,
LOGOS LLC,,,,"842 HILLBURN DR,DALLAS, TX,75217-4623, USA",,,,[],,
LOGOS LLC,,,,"847 E Wilson St,null,Batavia, IL,60510-2204, USA",,,,[],,
LOGOS LLC,,,,"1951 NW 7TH AVE,MIAMI, FL,33136-1128, USA",,,,[],,
Illuminate Therapeutics,"ILLUMINATE THERAPEUTICS, INC.",WVLWH6J17CP5,9HSL5,"16 Aliso WAY,Portola Valley, California,94028-7527, United States","16 Aliso WAY,Portola Valley, California,94028, United States",,"Apr 12, 2022","['Elizabeth Berezovsky', 'Don Arnold']","Delaware, United States",California 16
IAFA,,,,"1712 MAIN ST,FRYEBURG, ME,04037-4327, USA",,,,[],,
AxNano,AXNANO LLC,NMDVSFDSVCB4,6NXP3,"2901 E Gate City BLVD,STE 2200,Greensboro, North Carolina,27401-4901, United States","2901 E Gate City BLVD,STE 2200,Greensboro, North Carolina,27401-4901, United States",https://www.axnano.com/,"Aug 16, 2011","['Alexis Carpenter', 'Doug Speight']","Delaware, United States",North Carolina 06
Scout,WORDTHEATRE,YCHPV6FD6VA9,(blank),"2564 Via Tejon,Palos Verdes Estates, California,90274-1348, United States","11801 Brookdale LN,Studio City, California,91604, United States",https://www.wordtheatre.org/,"Jun 26, 2007",['Scout Riley'],"California, United States",California 36
Scout,EVERGO TRADING COMPANY INC.,DK4KXCKS7LG5,SDAJ3,"76 Scout Tuazon Street Corner Scout Borromeo STREET, South Triangle,Quezon,1103, Philippines","76 Scout Tuazon Street Corner Scout Borromeo STREET, South Triangle,Quezon,1103, Philippines",,"Mar 5, 1996","['Joan Lim', 'Anthony Lim']","(blank), Philippines",Not Applicable
Scout,SCOUT LAKE CONSTRUCTION INC,FVWKVFXA3L66,60TP4,"830 Nagler RD,Selah, Washington,98942-9596, United States","PO Box 1060,Selah, Washington,98942, United States",http://www.scout-lake.com/,"Sep 14, 2004","['Erick Bond', 'Rod Chumley']","Washington, United States",Washington 04
Scout,"SCOUT SOURCING, LLC",UFGLHJCJ43C8,7CNY4,"2340 S River RD STE 309,Des Plaines, Illinois,60018-3224, United States","2340 South River RD STE 309,Des Plaines, Illinois,60018-3224, United States",https://scout-forward.com/,"Mar 8, 2006",['Kelly Lopez'],"Illinois, United States",Illinois 08
Scout,MARINE DIESEL SERVICES LLC,NUHFSYMQDD54,9HZT4,"325 NE 11TH ST,Newport, Oregon,97365-2918, United States","325 NE 11TH ST,Newport, Oregon,97365-2918, United States",,"Oct 27, 2022",['Scout Hockema'],"Oregon, United States",Oregon 04
Scout,NORTHSIDE NETWORKS LLC,M7VLVUQNV3B4,11MA3,"525 N Orange,Mesa, Arizona,85201-5608, United States","525 N Orange,Mesa, Arizona,85201-5608, United States",,"Nov 9, 2019",['Scout Gardner'],"Arizona, United States",Arizona 04
Scout,,,,"BEIRUT ACHRAFIEH SASSINE,BUILDING: DIRANI FLOOR GROUND,BEIRUT,(blank), LBN",,,,[],,
Scout,INLAND NORTHWEST COUNCIL BOY SCOUTS OF AMERICA,YPRZGE15BDB6,71SD0,"411 W Boy Scout WAY,Spokane, Washington,99201-2243, United States","411 W Boy Scout WAY,Spokane, Washington,99201-2243, United States",https://www.nwscouts.org/,"Oct 30, 1922","['Marcia Hunt', 'Matthew Troxel']","Washington, United States",Washington 05
Scout,WEST COAST-ACCUDYNE INC.,FFR6QKAMJBU3,1YZ18,"7180 Scout AVE,Bell, California,90201-3202, United States","7180 S Scout AVE,Bell Gardens, California,90201-3202, United States",http://www.accudyneeng.com/,"Sep 1, 1980",['Mark Pedersen'],"California, United States",California 40
