keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contacts,state_country_incorporation,congressional_district
Radiant Dx Inc,RADIANT DX INC.,U6TJRX9B3FX5,9NJU1,"5604 Centennial DR,Durham, North Carolina,27712-1236, United States","5604 Centennial DR,Durham, North Carolina,27712-1236, United States",,"Jun 21, 2023",['Steven Metzger'],"Delaware, United States",North Carolina 04
Assisti,ASSISTIVE TECHNOLOGY INNOVATIONS LLC,ECXFJ4195AG5,83T83,"3503 Baywood Drive RM Home,Shreveport, Louisiana,71118-3603, United States","3503 Baywood Drive,Shreveport, Louisiana,71118-3603, United States",https://assistivetechnologyinnovations.com/,"Feb 10, 2016",['Richard Walls'],"Louisiana, United States",Louisiana 04
Viburnum,,,,"1 Missouri Ave,null,Viburnum, MO,65566, USA",,,,[],,
Viburnum,"VIBURNUM, CITY OF",W6PANBCA3M58,5QJ85,"1 Missouri AVE,Viburnum, Missouri,65566-8633, United States","1 Missouri AVE,Viburnum, Missouri,65566-8633, United States",,"Jan 1, 1967",['Daniel Lozano'],"(blank), (blank)",Missouri 08
Viburnum,"DISABLED CITIZENS ALLIANCE FOR INDEPENDENCE FOUNDATION, INC.",ZS8LQM5LB6V5,8SW21,"8 Missouri AVE,Viburnum, Missouri,65566-8633, United States","PO Box 706,Viburnum, Missouri,65566-0706, United States",,"Mar 12, 1997","['Tammie Barrett', 'Ronda Payne']","Missouri, United States",Missouri 08
Viburnum,CONSOLIDATED SCHOOL DISTRICT NO. 4,V3BNZKXJWKU3,5QPE0,"35 Highway 49,Viburnum, Missouri,65566-1001, United States","35 HWY 49,Viburnum, Missouri,65566-1001, United States",,"Jul 1, 1966","['Mary Yanske', 'Beverly Gibbs']","Missouri, United States",Missouri 08
Viburnum,MARTECH SYSTEMS INC,JAACFNEJK5U4,1H5M0,"35 Viburnum CT,Trenton, New Jersey,08648-4809, United States","35 Viburnum Court,Lawrenceville, New Jersey,08648-4809, United States",http://www.martechsystems.com/,"Sep 15, 1996","['John Huchler', 'Loraine Huchler']","Delaware, United States",New Jersey 12
Viburnum,DISABLED CITIZENS ALLIANCE FOR INDEPENDENCE INC,L58JLNEE4ZP8,5R4J1,"8 Missouri AVE,Viburnum, Missouri,65566-8633, United States","PO Box 675,Viburnum, Missouri,65566-8633, United States",https://dcai.us/,"Oct 1, 1980","['Tammie Barrett', 'Dennis Atkins', 'Ronda Payne']","Missouri, United States",Missouri 08
Viburnum,,,,"4 SAINT JOSEPH ST,VIBURNUM, MO,65566-8602, USA",,,,[],,
Viburnum,A & D SMITH INVESTMENT LLC,PXN2HXCYQJ44,9V0N5,"5102 Viburnum CT,Indian Head, Maryland,20640-3727, United States","5102 Viburnum CT,Indian Head, Maryland,20640, United States",,"Nov 18, 2019",['Dominick Smith'],"Maryland, United States",Maryland 05
Viburnum,JOANN LARUE,DLV7PN7B8C21,8WRQ0,"8500 Viburnum AVE,California City, California,93505-4128, United States","8500 Viburnum AVE,California City, California,93505-4128, United States",,"Jun 1, 2020",['Joann Larue'],"California, United States",California 23
Viburnum,"FOCUS ON FIRE PREVENTION, INC.",EF3GEHM512C5,6P1Z4,"14357 Viburnum LN,Orlando, Florida,32828-7202, United States","14357 Viburnum Lane,Orlando, Florida,32828-7202, United States",,"Feb 1, 2012","['Joe Bateman', 'Ken Lauziere']","Florida, United States",Florida 09
