keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contacts,state_country_incorporation,congressional_district
TeloHealthDx LLC,TELOHEALTHDX LLC,ZWK6WMUV43G5,(blank),"23003 Frederick RD,Clarksburg, Maryland,20871-9428, United States","23003 Frederick RD,Clarksburg, Maryland,20871-9428, United States",,"Aug 22, 2022",['Scarlett Sun'],"Delaware, United States",Maryland 06
CICS Analytics,CICS ANALYTICS CORP.,GF13EZXALLX3,(blank),"3501 Saint Paul ST STE 702,Baltimore, Maryland,21218-2763, United States","3501 Saint Paul ST.,Suite 702,Baltimore, Maryland,21218, United States",,"Nov 4, 2024",['Sixuan Li'],"Delaware, United States",Maryland 07
Medonect,"MEDONECT THERAPEUTICS, INC.",WMHJS3TMZN45,8R4D3,"3360 E Foothill BLVD APT 446,Pasadena, California,91107-6068, United States","3360 E Foothill BLVD APT 446,Pasadena, California,91107-6068, United States",,"Jun 24, 2019",['Ziad Gerges'],"California, United States",California 27
Triangle Environmental,"TRIANGLE ENVIRONMENTAL SCIENCE & ENGINEERING, INC.",DJ4RLFNXTF77,52DE0,"17855 Elk Prairie DR,Rolla, Missouri,65401-8486, United States","Triangle Environmental Science And Engineering Inc,PO Box 1026,Rolla, Missouri,65401-3343, United States",http://www.triangleenvironmentalrolla.com/,"Jan 1, 1990",['John Cable'],"Missouri, United States",Missouri 08
Triangle Environmental,RESEARCH TRIANGLE ENVIRONMENTAL HEALTH COLLABORATIVE INC,C1EJDNK3SPB1,4NBA2,"9200 Leslieshire DR,Raleigh, North Carolina,27615-8103, United States","9200 Leslieshire Drive,Raleigh, North Carolina,27615-8103, United States",,"Jan 1, 2006",['David Brown'],"North Carolina, United States",North Carolina 02
Triangle Environmental,TRIANGLE ENVIRONMENTAL CONSULTANTS INC.,JN4CTNFWNG74,3TZG4,"878 Chatuge Crest Drive,Hayesville, North Carolina,28904-6800, United States","878 Chatuge Crest Drive,Hayesville , North Carolina,28904-6800, United States",,"Sep 21, 1988",['Robert Olander'],"Georgia, United States",North Carolina 11
Triangle Environmental,TRIANGLE ENVIRONMENTAL HEALTH INITIATIVE LLC,X6EJJK2HHMF1,7VS92,"105 Hood ST STE 3,Durham, North Carolina,27701-3794, United States","105 Hood ST STE 3,Durham, North Carolina,27701-3794, United States",https://www.triangle-environmental.com/,"Sep 9, 2016",['Jenelle Van'],"North Carolina, United States",North Carolina 04
Triangle Environmental,"TRIANGLE ENVIRONMENTAL SERVICE CENTER, INC.",NXNDD8NHGUQ1,7BLV0,"13509 E Boundary RD STE B,Midlothian, Virginia,23112-3940, United States","13509 E Boundary RD STE B,Midlothian, Virginia,23112-3940, United States",https://www.tesclab.com/,"Apr 8, 2007","['Crystal Calhoun', 'Jeff Jiang']","Virginia, United States",Virginia 07
LevoSens,"LEVOSENS, INC.",Z2X8FX7ST8L7,10Q27,"123 W Franklin ST STE 550,Chapel Hill, North Carolina,27516-2506, United States","123 W Franklin ST STE 550,Chapel Hill, North Carolina,27516-2506, United States",,"Feb 28, 2025",['David Probst'],"North Carolina, United States",North Carolina 04
Metaware LLC,,,,"4110 SOUTHPOINT BLVD STE 125,JACKSONVILLE, FL,32216-0926, USA",,,,[],,
