keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contacts,state_country_incorporation,congressional_district
"PFF, LLC",,,,"6035 LIVE OAK PL,SPRING, TX,77379-8822, USA",,,,[],,
"PFF, LLC",,,,"PLOT NO 38/48 PFF KANGUNDO ROAD,NAIROBI,(blank), KEN",,,,[],,
"PFF, LLC","PFF, INC.",NN7HHD8M2771,41CP2,"903 Industry WAY STE A,El Centro, California,92243-4616, United States","P.O. Box 899,Calipatria, California,92233, United States",,"Oct 12, 2001","['Misha Rea', 'Andrew Rea']","California, United States",California 25
"PFF, LLC","PFF, LLC",P25AZ6WDJ589,7SXE9,"7811 Hubble DR,Lanham, Maryland,20706-2494, United States","7811 Hubble DR,Lanham, Maryland,20706-2494, United States",,"Nov 16, 2016","['Cassandra Lacey', 'Kevin Lacey']","Maryland, United States",Maryland 04
AI CPT,"CA ENTERPRISE, LLC",L6BPGL7NKNM7,(blank),"2220 Lakewood Street,Suitland, Maryland,20746-1417, United States","2220 Lakewood Street,Suitland, Maryland,20746, United States",,"Oct 5, 2021","['Mark Milley', 'Charlene Terrell']","Maryland, United States",Maryland 04
IntriCare,"INTRICARE, LLC",E8USLNXEB7K1,7DHN5,"1883 Glasgow AVE College Park,San Juan, Puerto Rico,00921-4820, United States","1353 Luis Vigoreaux AVE,Pmb 486,Guaynabo, Puerto Rico,00966, United States",https://www.intricarehealth.com/,"Apr 13, 2011",['Mary Ann'],"Puerto Rico, United States",Puerto Rico 98
Secura,"PTS LABORATORIES, INC.",L5LHWQ4GCU86,1K9B7,"8100 Secura WAY,Santa Fe Springs, California,90670-2116, United States","Pts Laboratories Inc,8100 Secura WAY,Santa Fe Springs, California,90670-2116, United States",http://www.ptslabs.com/,"Sep 24, 1992","['Eric Withjack', 'Michael Mark']","California, United States",California 38
Secura,,,,"611 US HIGHWAY 46 W STE 200,HASBROUCK HEIGHTS, NJ,07604-3129, USA",,,,[],,
Secura,PANTHER ENGINEERING INC,EM9LCBE5YFE6,8FEU4,"8118 Secura WAY,Santa Fe Springs, California,90670-2116, United States","8116 Secura WAY,Santa Fe Springs, California,90670-2116, United States",http://panthereng.com/,"Mar 7, 2019","['Victor Lavrov', 'Halit Osmani']","California, United States",California 38
Secura,LIETZAU PATTERNS INC,SKS4LKSP2ED1,7S6A1,"8321 Secura WAY,Santa Fe Springs, California,90670-2213, United States","8321 Secura WAY,Santa Fe Springs, California,90670-2213, United States",,"Jan 1, 2016",['Josh Lietzau'],"California, United States",California 38
Secura,PEGASUS PAINTING AND DECORATING COMPANY,M1W5ME26KL23,71BH1,"8400 Secura WAY,Santa Fe Springs, California,90670-2216, United States","8400 Secura WAY,Santa Fe Springs, California,90670, United States",,"Jul 1, 2013",['Wilmer Lee'],"California, United States",California 38
Secura,GASKET MANUFACTURING ENGINEERING INC,XYBJYGB86M29,8VWP8,"8427 Secura WAY,Santa Fe Springs, California,90670-2215, United States","8427 Secura WAY,Santa Fe Springs, California,90670-2215, United States",https://www.gasketmfg.com/,"Nov 24, 2020",['Adrian Cardenas'],"California, United States",California 38
Secura,ROSE EQUIPMENT REPAIR INC,N783X8CAMWJ8,84Q18,"8143 Secura WAY,Santa Fe Springs, California,90670-2115, United States","8143 Secura WAY,Santa Fe Springs, California,90670-2115, United States",,"Jan 22, 1979",['John Rose'],"California, United States",California 38
Secura,EMMA INDUSTRIAL,XH4YYTLLNRX3,9RDC1,"8133 Secura WAY,Santa Fe Springs, California,90670-2115, United States","8133 Secura WAY,Santa Fe Springs, California,90670, United States",https://emmaindustrial.com/,"Aug 25, 2023","['Josh Aranda', 'Simon Pun']","California, United States",California 38
Secura,"SCOTIA ENGINEERING, INC",M9BFPFFTDNP8,0Q1Q1,"8440 Secura WAY,Santa Fe Springs, California,90670-2216, United States","8440 Secura WAY,Santa Fe Springs, California,90670-2216, United States",https://www.scotiatool.com/,"Apr 1, 2013","['Mark Matiszik', 'Christopher Matiszik']","California, United States",California 38
Secura,SECURA TECH INDUSTRIES INC,XZL1W38PJSP6,8LHF9,"17467 Mary Ball RD,White Stone, Virginia,22578-2103, United States","17467 Mary Ball RD,White Stone, Virginia,22578-2103, United States",https://www.thelocksmithweb.com/,"Jan 3, 1994",['Brian Conboy'],"Virginia, United States",Virginia 01
