keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contacts,state_country_incorporation,congressional_district
Archerfish,"ARCHERFISH TECHNOLOGIES, LLC",YVN5Z87KN5G5,3BXV0,"2809 Stonehaven DR,Fort Collins, Colorado,80525-5684, United States","2809 Stonehaven Drive,Fort Collins, Colorado,80525-5684, United States",,"Mar 1, 2001",['Perry Wischow'],"Colorado, United States",Colorado 02
Oratio,ORKEN TECHNOLOGIES LIMITED LIABILITY COMPANY,QLYMFWZ6N1B3,8MG06,"1420 Bradley DR APT 114F,Carlisle, Pennsylvania,17013-1265, United States","1420 Bradley DR APT 114F,Carlisle, Pennsylvania,17013-1265, United States",https://orkentech.com/,"Feb 27, 2010",['Oratio Thomas'],"Pennsylvania, United States",Pennsylvania 10
Oratio,ORATIO LLC,YKW6YNBTLBR3,7SB33,"3230 Market ST STE 402,Philadelphia, Pennsylvania,19104-3391, United States","3230 Market Street,Pearlstein - Suite 401,Philadelphia, Pennsylvania,19104, United States",http://www.oraiapp.com/,"May 13, 2016",['Asher Breverman'],"Pennsylvania, United States",Pennsylvania 02
Minerva,MINERVA PUBLIC LIBRARY,DHQ5J2BEPJG6,507D7,"677 Lynnwood DR,Minerva, Ohio,44657-1250, United States","677 Lynnwood DR.,Minerva, Ohio,44657-1250, United States",https://www.minervalibrary.info/,"Mar 24, 1913","['Jason Bumbico', 'Heather Husted']","(blank), (blank)",Ohio 06
Minerva,MINERVA CHANDLER & ASSOCIATES LLC,D3JBH31X4YN4,956G4,"14635 Monmouth Drive,Burtonsville, Maryland,20866-1926, United States","14635 Monmouth Drive,Burtonsville, Maryland,20866-1926, United States",,"Sep 13, 2011",['Minerva Chandler'],"Maryland, United States",Maryland 03
Minerva,"OVER THE RAINBOW LEARNING CENTER, INC.",KNF6KBSMFBW8,6H1J0,"1269 Plainfield ST,Johnston, Rhode Island,02919-6924, United States","1269 Plainfield ST,Johnston, Rhode Island,02919-6924, United States",,"Oct 16, 2006",['Minerva Waldron'],"Rhode Island, United States",Rhode Island 02
Minerva,MINERVA LOCAL SCHOOLS,G77HD89JDNW4,5R6W5,"406 East ST,Minerva, Ohio,44657-1429, United States","406 East ST,Minerva, Ohio,44657-1429, United States",,"Jan 1, 1920","['Ashley Beaumariage', 'Gary Chaddock']","(blank), (blank)",Ohio 06
Minerva,MINERVA ELECTRIC LLC,YGXXHFJVLJ16,9DSH1,"106 Daleview CT,Richlands, North Carolina,28574-5335, United States","106 Daleview CT,Richlands, North Carolina,28574-5335, United States",,"Jan 11, 2021",['Michael Minerva'],"North Carolina, United States",North Carolina 03
Minerva,VILLAGE OF MINERVA,Q7JFY3PCFLP2,6E1F9,"209 N Market ST,Minerva, Ohio,44657-1638, United States","209 N Market Street,Minerva, Ohio,44657-1638, United States",https://minerva.oh.us/,"Jan 1, 1865","['Benjamin Gunderson', 'Mason Boldizar', 'Patricia Willoughby']","(blank), (blank)",Ohio 06
Minerva,MINERVA AREA FEDERAL CREDIT UNION,KDRGK6MW2CG6,7NFH2,"3570 Union AVE SE,Minerva, Ohio,44657-8521, United States","3570 Union AVE SE,Minerva, Ohio,44657-8521, United States",https://www.minervacreditunion.com/,"May 6, 1971",['Jane Yankovich'],"Ohio, United States",Ohio 06
Minerva,"MINERVA DAIRY, INC.",H48ABNR91DH3,8SNN8,"430 Radloff AVE,Minerva, Ohio,44657-1453, United States","PO Box 60,Minerva, Ohio,44657, United States",,"Dec 4, 1970","['Jennifer Stuller', 'Venae Watts']","Ohio, United States",Ohio 07
Minerva,MINERVA FERNANDEZ,TMRRP87J6DZ6,9XY51,"6156 W Belmont AVE,Chicago, Illinois,60634-4003, United States","6156 W Belmont AVE,Chicago, Illinois,60634-4003, United States",,"Mar 1, 2024",['Minerva Fernandez'],"Illinois, United States",Illinois 03
Minerva,"A-THRONE CO., INC.",VFKKMQM8K8N9,0N0F6,"1850 E 33RD ST,Long Beach, California,90807-5208, United States","1850 East 33RD Street,Long Beach, California,90807-5208, United States",http://www.athrone.com/,"Apr 1, 2004","['Michael Rice', 'Jaya Krishnan', 'Minerva Songco']","California, United States",California 47
FUSI,THE SLAS CORP,L65RHF9DCK31,(blank),"120 Cobblepoint WAY,Holly Springs, North Carolina,27540-8249, United States","120 Cobblepoint WAY,Holly Springs, North Carolina,27540-8249, United States",,"Jun 20, 2018",['Stephen Fusi'],"North Carolina, United States",North Carolina 04
FUSI,"FUNSTEMATICS, LLC",T85UAK9BN9N8,7RBY4,"811 W Eastwood AVE APT 604,Chicago, Illinois,60640-6985, United States","811 W Eastwood AVE,APT 604,Chicago, Illinois,60640-6985, United States",https://www.funstematics.ai/,"Jul 1, 2015",[],"Illinois, United States",Illinois 09
FUSI,Z FUSI INC.,UCRBSGWD8LE7,8THT2,"1627 K ST NW STE 500,Washington, District Of Columbia,20006-1708, United States","1627 K ST NW STE 500,Washington, District Of Columbia,20006-1708, United States",,"Jun 6, 2020",['Leticia Alexander'],"District Of Columbia, United States",District Of Columbia 98
