keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contacts,state_country_incorporation,congressional_district
Cultivate,CULTIVATE COLLECTIVE INC.,QSJFCHHCMSM5,(blank),"4942 W 44TH ST,Chicago, Illinois,60638-1900, United States","4942 W. 44TH ST.,Chicago, Illinois,60638, United States",,"Jan 27, 2022",['Paul Guilianelli'],"Delaware, United States",Illinois 04
Cultivate,,,,"450, FLANDERS AVE,null, null,null, USA",,,,[],,
Cultivate,,,,"62 LAKEVIEW TER APT A,BURLINGTON, VT,05401-2931, USA",,,,[],,
Cultivate,,,,"199 ALPINE DR SE,LEESBURG, VA,20175-6160, USA",,,,[],,
Cultivate,"CULTIVATE PLAY, PLLC",D8CXLNF82SA3,072M4,"4418 Mcdowell Run,Murfreesboro, Tennessee,37129-3853, United States","4418 Mcdowell Run,Murfreesboro, Tennessee,37129-3853, United States",,"Apr 26, 2024",['Alyssa Engel'],"Tennessee, United States",Tennessee 04
Cultivate,,,,"1227 N PEACHTREE PKWY,PEACHTREE CITY, GA,30269-1743, USA",,,,[],,
Cultivate,,,,"38 BENT TREE LN,PAWLEYS ISLAND, SC,29585-6017, USA",,,,[],,
Cultivate,,,,"704 MAIN ST,EVANSTON, IL,60202-1702, USA",,,,[],,
Cultivate,,,,"512 MACDONOUGH ST APT 2,BROOKLYN, NY,11233-6684, USA",,,,[],,
Cultivate,,,,"1585 SILVERSTONE TRL,APT 1,DE PERE, WI,54115-7916, USA",,,,[],,
Elastro,,,,"94 Union St,Watertown, MA,02472-2527, USA",,,,[],,
ESTAT Actuation,ESTAT ACTUATION INC,GNHZJY3VLDP5,8C1H2,"1028 Welfer ST,Pittsburgh, Pennsylvania,15217-2651, United States","1028 Welfer ST,Pittsburgh, Pennsylvania,15217-2651, United States",,"Apr 24, 2019",['Stuart Diller'],"Delaware, United States",Pennsylvania 12
Fabrisonic,"FABRISONIC, LLC",N53SQ9476Q64,6NX15,"7719 Graphics WAY STE A,Lewis Center, Ohio,43035-9667, United States","7719 Graphics WAY STE A,Lewis Center, Ohio,43035-9667, United States",http://www.fabrisonic.com/,"Jan 13, 2011","['Jason Riley', 'Angi Cox']","Ohio, United States",Ohio 04
Fathom,"FATHOM ARCHITECTURE, LLC",KR7ME2LRXBL1,13658,"1917 1ST AVE STE 201,Seattle, Washington,98101-1236, United States","1917 1ST AVE STE 201,Seattle, Washington,98101-1236, United States",https://www.fathom-architecture-pnw.com/,"May 14, 2018","['James Nance', 'Brad Fogle']","Washington, United States",Washington 07
Fathom,"FATHOM, LLC",G51HCAWJMRX5,7T3S2,"25 Joseph ST APT 3,Somerville, Massachusetts,02143-3921, United States","10 Lorraine Drive,Londonderry, New Hampshire,03053, United States",,"Sep 4, 2015",['Alan Mceacharn'],"Massachusetts, United States",Massachusetts 07
Fathom,,,,"291 Main St,null,Hackensack, NJ,07601-5708, USA",,,,[],,
Fathom,,,,"107 Southampton Ct,null,Goodlettsville, TN,37072-2134, USA",,,,[],,
Fathom,,,,"541 BATTLEVIEW DRIVE,SMYRNA, GA,30082-4479, USA",,,,[],,
Fathom,,,,"501 W BROADWAY STE 2020,SAN DIEGO, CA,92101-3548, USA",,,,[],,
Fathom,"FATHOM COMPUTING PBC, WHICH WILL DO BUSINESS IN CALIFORNIA AS FATHOM COMPUTING",HGQQU2CH72K6,89NT6,"380 Portage AVE,Palo Alto, California,94306-2244, United States","380 Portage AVE,Palo Alto, California,94306-2244, United States",,"Oct 29, 2014",['William Andregg'],"Delaware, United States",California 18
Fathom,"FATHOM LIGHT, INC.",PLW3UPGBWKB5,10Q28,"155 Larita DR,Ben Lomond, California,95005-9521, United States","155 Larita DR,Ben Lomond, California,95005-9521, United States",,"Jan 2, 2025",['Mathew Rekow'],"Delaware, United States",California 19
Fathom,"FATHOM, LLC",TUGWQ7AM1QP7,9SJ03,"214 S Southwood AVE,Annapolis, Maryland,21401-4112, United States","214 S. Southwood AVE,Annapolis, Maryland,21401, United States",https://www.fathom-tech.com/,"Nov 7, 2023",['Laura Miller'],"Maryland, United States",Maryland 03
Fathom,FATHOM FINANCIAL CONSULTING LIMITED,MM9JH4822J91,U1ME9,"47 Bevenden Street,London,N1 6BH, United Kingdom","47 Bevenden Street,London,N1 6BH, United Kingdom",https://www.fathom-consulting.com/,"Oct 24, 2003",['Kevin Loane'],"(blank), United Kingdom",Not Applicable
