keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contacts,state_country_incorporation,congressional_district
"Titanium Infrastructure, LLC.",TITANIUM INFRASTRUCTURE LLC,X6U4CVYGMHQ5,81U26,"622 Kelley RD,Belington, West Virginia,26250-8395, United States","622 Kelley RD.,Belington, West Virginia,26250, United States",https://www.titanuminfrastructure.com/,"Apr 17, 2015",['Rachelle Channell'],"West Virginia, United States",West Virginia 02
"Titanium Infrastructure, LLC.",TEKTALOS CORP,SVSEP21FLXL9,86TD4,"622 Kelley RD,Belington, West Virginia,26250-8395, United States","622 Kelley RD.,Belington, West Virginia,26250, United States",https://www.tektalos.com/,"Jul 17, 2018",['Rachelle Channell'],"West Virginia, United States",West Virginia 02
TMM LLC,,,,"8 GARDNER RD,LAUREL, MS,39443-7827, USA",,,,[],,
TMM LLC,,,,"707 WHITLOCK AVE SW STE D33,null,MARIETTA, GA,30064-3083, USA",,,,[],,
TMM LLC,EOC JAPAN CORPORATION,TE8YABL7XFQ8,JA380,"1-10-5, Iwamotocho,Chiyoda-ku, Tokyo,101-0032, Japan","1-10-5, Iwamotocho,Tmm BLDG. 6F.,Chiyoda-ku, Tokyo,101-0032, Japan",,"Feb 1, 1978",['Hisoka Shinoda'],"(blank), Japan",Not Applicable
TMM LLC,"COMFORT ZONE SECURITY, PROTECTION AND INVESTIGATIONS, LLC",G56TG42571S3,4MEN0,"112 Point West BLVD STE 15,Saint Charles, Missouri,63301-4421, United States","P.O. Box 261,Wentzville, Missouri,63385, United States",https://www.comfortzsecurity.com/,"Jun 20, 2006",['Thomas Mitchell'],"Missouri, United States",Missouri 03
TMM LLC,"TMM FAMILY SERVICES, INC.",XV45AHM897V7,3W9Z6,"1550 N Country Club,Tucson, Arizona,85716-3152, United States","1550 N. Country Club Road,Tucson, Arizona,85716-3152, United States",http://www.tmmfs.org/,"Dec 28, 1979","['Christie Lee', 'Susan Hicks']","Arizona, United States",Arizona 06
TMM LLC,TMM DIRECT,VLS2MG4KA5V1,6JRV6,"5830 Natoma RD,Clover, South Carolina,29710-8527, United States","P.O. Box 239,Clover, South Carolina,29710-0239, United States",https://www.tmmdirect.com/,"Oct 8, 2003",['Jennifer Spitzer'],"South Carolina, United States",South Carolina 05
TMM LLC,TMM INTERNET MARKETER LLC,K5JGGS1BH513,9Y5T0,"430 Bald Eagle DR,Vacaville, California,95688-1022, United States","430 Bald Eagle DR,Vacaville, California,95688-1022, United States",,"May 19, 2020",['Tasha Mcglashan'],"California, United States",California 04
TMM LLC,"TMM CONSULTING, LLC",KGNXJA8FTPX1,5ZD51,"38414 Ditchling PL,Hamilton, Virginia,20158-9470, United States","38414 Ditchling Place,Hamilton, Virginia,20158-9470, United States",,"Mar 2, 2010","['Shaila Millman', 'Tom Millman']","Virginia, United States",Virginia 10
TMM LLC,"NATIVE ASSETS ACCOUNTING AND CONSULTING, LLC",EWSKZVFWSNP6,63X97,"180 Summerwinds RD,Box Elder, Montana,59521-8936, United States","PO Box 737,Havre, Montana,59501-0737, United States",https://www.nativeassetsaccounting.com/,"Oct 30, 2009","['Vina Tmm', 'Eleanor Yellowrobe']","Montana, United States",Montana 00
TMM LLC,MCCI CORPORATION,HZENER1TXW13,8NMN7,"3520 Krums Corners Road,Ithaca, New York,14850-9169, United States","3520 Krums Corners RD,Ithaca, New York,14850-9169, United States",https://mcci.com/,"Jul 1, 1995",['Terrill Moore'],"Delaware, United States",New York 19
Trails Community LLC,BLUEBONNET TRAILS COMMUNITY MHMR CENTER,L7N9JCJ5HCX1,5CD42,"1009 N Georgetown ST,Round Rock, Texas,78664-3289, United States","1009 N. Georgetown Street,Round Rock, Texas,78664-3289, United States",http://bbtrails.org/,"Sep 1, 1997","['Molly Woodburn', 'Cara Mehrens']","(blank), (blank)",Texas 17
Truxtun,COUNTY OF KERN,LYM1ZJ6B7BM3,3JFA2,"1115 Truxtun AVE,FL 5,Bakersfield, California,93301-4629, United States","1115 Truxtun AVE 5TH Flr,Bakersfield, California,93301-4617, United States",https://www.kerncounty.com/,"Apr 2, 1866","['Aimee Espinoza', 'Kaler Ayala', 'Amanda Ruiz', 'Alex Alva']","(blank), (blank)",California 22
Truxtun,KERN COUNTY COMMISSION ON AGING FOUNDATION,F7V2UDPEDE85,5JKR4,"5357 Truxtun AVE,Bakersfield, California,93309-0641, United States","5357 Truxtun AVE,Bakersfield, California,93309-0641, United States",,"Jul 1, 1999","['Maria Montoya', 'Jeremy Oliver']","(blank), (blank)",California 20
Truxtun,STRATA FEDERAL CREDIT UNION,S83HYKNY5HS3,(blank),"1717 Truxtun AVE,Bakersfield, California,93301-5110, United States","1717 Truxtun AVE,Bakersfield, California,93301-5110, United States",,"Feb 1, 1949","['Brandon Ivie', 'Brenda O']","California, United States",California 20
Truxtun,COUNTY OF KERN,NQGBLFTTWSS9,1F5X1,"1115 Truxtun AVE,2ND Floor,Bakersfield, California,93301-4630, United States","1115 Truxtun AVE,2ND Floor,Bakersfield, California,93301-4639, United States",https://www.kcttc.co.kern.ca.us/,"Apr 2, 1866","['Joebryne Cabahug', 'Chase Nunneley', 'Aimee Espinoza', 'Brandon Carter', 'Jordan Kaufman']","(blank), (blank)",California 22
Truxtun,"LEE DEVELOPMENT GROUP, LLC",RH4YY69W8NC3,45SH3,"5601 Truxtun AVE STE 190,Bakersfield, California,93309-0627, United States","5601 Truxtun AVE STE 190,Bakersfield, California,93309-0627, United States",,"Feb 18, 1997","['Ann Wilkening', 'Gregory Bynum']","California, United States",California 23
Truxtun,MALASHOCK DANCE & COMPANY,RJ6KMMM2S563,4J5Q6,"2650 Truxtun RD,STE 104,San Diego, California,92106-6172, United States","2650 Truxtun RD,Suite 104,San Diego, California,92106-6172, United States",http://www.malashockdance.org/,"May 8, 1990","['Molly Puryear', 'Christopher Morgan']","California, United States",California 50
Truxtun,,,,"15909 SYCAMORE LN,ROCKVILLE, MD,20853-1458, USA",,,,[],,
Truxtun,GUSTAVO LUNA,C9PZMFL99JJ5,91FB5,"930 Truxtun AVE STE 201,Bakersfield, California,93301-4700, United States","930 Truxtun AVE STE 201,Bakersfield, California,93301-4700, United States",https://www.kerntutoring.com/,"Jul 18, 2018",['Gustavo Luna'],"California, United States",California 23
