keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contact1,contact2,state_country_incorporation,congressional_district
"Assure Technologies, LLC","ASSURE MEDICAL TECHNOLOGIES, INC.",MHJUNMMNSN47,82D85,"200 Butternut DR,Chapel Hill, North Carolina,27514-1615, United States","200 Butternut DR,Chapel Hill, North Carolina,27514-1615, United States",,"Feb 1, 2018",Stephen Eckel,Stephen Eckel,"Delaware, United States",North Carolina 04
"Predictive, LLC",,,,"310 GOVERNMENT AVE,NICEVILLE, FL,32578-1809, USA",,,,,,,
"Predictive, LLC",,,,"2 JACQUELINE DR,DOVER, NH,03820-5019, USA",,,,,,,
"Predictive, LLC",,,,"412 SHELLCASTLE RD,ROCKY MOUNT, NC,27804-7709, USA",,,,,,,
"Predictive, LLC",,,,"951 20TH ST,UNIT 13467,DENVER, CO,80201-5386, USA",,,,,,,
"Predictive, LLC",,,,"5900 BALCONES DR,SUITE 100,AUSTIN, TX,78731-4298, USA",,,,,,,
Wave Welcome,WAVE WELCOME LLC,K6U9KE5XD7B1,62YN7,"6307 Hickory Bnd,Clinton, Maryland,20735-9588, United States","6307 Hickory Bend,Clinton, Maryland,20735-9588, United States",https://www.wavewelcome.com/,"Jun 10, 2020","Janelle Wright, CEO","Janelle Wright, CEO","Maryland, United States",Maryland 05
Nervosys,NERVOSYS LLC,WSHDCNQPGPC9,9XZL7,"100 N Howard ST STE R,Spokane, Washington,99201-0508, United States","100 N Howard ST STE R,Spokane, Washington,99201-0508, United States",https://nervosys.ai/,"Aug 16, 2022","Adam M Erickson, Dr.","Adam M Erickson, Dr.","Washington, United States",Washington 05
VETTA Solutions Inc,VETTA SOLUTIONS INC.,XP7KJNLQRFP3,(blank),"2140 S Dupont HWY,Camden, Delaware,19934-1249, United States","6409 Fayetteville RD,STE 120-173,Durham, North Carolina,27713-6297, United States",,"Jan 9, 2023",Elizabeth Bjornsen,Elizabeth Bjornsen,"Delaware, United States",Delaware 00
"Second Star Robotics, LLC",SECOND STAR ROBOTICS LLC,U1NSNPBC3J14,8SAS7,"2333 Distribution CIR,Silver Spring, Maryland,20910-1261, United States","2333 Distribution CIR,Silver Spring, Maryland,20910-1261, United States",https://www.secondstarrobotics.com/,"Sep 1, 2019","Eric Berkenpas, Partner","Eric Berkenpas, Partner","Virginia, United States",Maryland 08
"Freshmeet U., Inc","FRESHMEET U., INC.",HV1DC9MV4F17,939Y3,"20 Goldsborough WAY,Reisterstown, Maryland,21136-6443, United States","20 Goldsborough WAY,Reisterstown, Maryland,21136-6443, United States",https://www.freshmeetu.com/who-is-fmu/,"Sep 1, 2014","Crystal Smith, Partner","Crystal Smith, Partner","Maryland, United States",Maryland 02
getGFTD,,,,,,,,,,,
Liatris Inc.,,,,"10006 LIATRIS LN,null,EDEN PRAIRIE, MN,55347-1210, USA",,,,,,,
Liatris Inc.,EXTENDED FAMILY SERVICES LLC,ZBV2SG5PXA56,9SPV6,"3343 Fugarwe CT Unit 5,North Pole, Alaska,99705-6409, United States","3343 Fugarwe Court Unit 5,North Pole, Alaska,99705, United States",,"Dec 4, 2023","Airial T Williams, Owner","Airial T Williams, Owner","Alaska, United States",Alaska 00
Liatris Inc.,LIATRIS INC.,PJ9WKMRVDDX6,87NV6,"5640 Fishers Lane,Suite D,Rockville, Maryland,20852-1737, United States","5640 Fishers Lane,Suite D,Rockville, Maryland,20852, United States",https://www.liatris.biz/,"Mar 23, 2018","Frank Yang, Mr","Riley Engels, Mr","Delaware, United States",Maryland 08
