keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contact1,contact2,state_country_incorporation,congressional_district
Staff U,,,,"15508 W BELL ROAD STE 101-548,null,SURPRISE, AZ,85374-2432, USA",,,,,,,
SMAART,"SMAART MEDICAL SYSTEMS, INC.",X6EFNEMMLLT5,50RQ7,"14330 Midway RD,STE 118,Dallas, Texas,75244-3526, United States","14330 Midway RD,STE 118,Dallas, Texas,75244-3526, United States",,"May 30, 2003",KIM Terry,PETER Foster,"Texas, United States",Texas 24
SMAART,SMAART LLC,XP4QLMLYC9B9,9E5Y4,"2319 N Andrews AVE,Fort Lauderdale, Florida,33311-3924, United States","2319 N Andrews AVE,Fort Lauderdale, Florida,33311, United States",https://www.smaartcompany.com/,"Feb 20, 2018","Ray Dominguez, CEO","Gustavo Gonzalez, Operations Manager","Florida, United States",Florida 23
SMAART,SMAART ENTERPRISES INC,C6NAGJ5RHLK1,53RU4,"15248 State Highway 371,Brainerd, Minnesota,56401-6810, United States","15248 State HWY 371,Baxter, Minnesota,56401-6810, United States",http://www.brainerdrental.com/,"Apr 30, 2002",STEVE MAU,Connie Kaz,"Minnesota, United States",Minnesota 08
SMAART,SMAART POWER LLC,VZQXTY9NPQ31,8T6A7,"24301 Rhona DR,Laguna Niguel, California,92677-4034, United States","24301 Rhona DR,Laguna Niguel, California,92677-4034, United States",,"Jul 29, 2020","Sanaz Sharafkhanian, Owner","Sanaz Sharafkhanian, Owner","California, United States",California 48
SMAART,SMAART MANAGEMENT AND CONSULTING LLC,PXM8RBGT15N3,9R7C9,"2405 Taylor LN,Pearland, Texas,77581-5743, United States","2405 Taylor LN,Pearland, Texas,77581-5743, United States",,"Nov 2, 2023","Carolyn D Guilory guillory, CEO","Carolyn D Guilory guillory, CEO","Texas, United States",Texas 22
Scanogen Inc,"SMAART MEDICAL SYSTEMS, INC.",X6EFNEMMLLT5,50RQ7,"14330 Midway RD,STE 118,Dallas, Texas,75244-3526, United States","14330 Midway RD,STE 118,Dallas, Texas,75244-3526, United States",,"May 30, 2003",KIM Terry,PETER Foster,"Texas, United States",Texas 24
Scanogen Inc,SMAART LLC,XP4QLMLYC9B9,9E5Y4,"2319 N Andrews AVE,Fort Lauderdale, Florida,33311-3924, United States","2319 N Andrews AVE,Fort Lauderdale, Florida,33311, United States",https://www.smaartcompany.com/,"Feb 20, 2018","Ray Dominguez, CEO","Gustavo Gonzalez, Operations Manager","Florida, United States",Florida 23
Scanogen Inc,SMAART ENTERPRISES INC,C6NAGJ5RHLK1,53RU4,"15248 State Highway 371,Brainerd, Minnesota,56401-6810, United States","15248 State HWY 371,Baxter, Minnesota,56401-6810, United States",http://www.brainerdrental.com/,"Apr 30, 2002",STEVE MAU,Connie Kaz,"Minnesota, United States",Minnesota 08
Scanogen Inc,SMAART MANAGEMENT AND CONSULTING LLC,PXM8RBGT15N3,9R7C9,"2405 Taylor LN,Pearland, Texas,77581-5743, United States","2405 Taylor LN,Pearland, Texas,77581-5743, United States",,"Nov 2, 2023","Carolyn D Guilory guillory, CEO","Carolyn D Guilory guillory, CEO","Texas, United States",Texas 22
