keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contact1,contact2,state_country_incorporation,congressional_district
3DFlexible Inc,3DFLEXIBLE INC,ZZKFKXNTMMA3,7SRV9,"11008 Chelsea WAY,Laurel, Maryland,20723-1097, United States","11008 Chelsea WAY,Laurel, Maryland,20723-1097, United States",,"Sep 9, 2016","Donghun Park, Dr.","Warren N. Herman, Chief Technology Advisor","Maryland, United States",Maryland 03
"InventWood, LLC",INVENTWOOD INC.,LA9LCVM7HMK5,7PWF8,"5971 Jefferson Station CT STE 100,Frederick, Maryland,21703-1458, United States","5971 Jefferson Station CT STE 100,Frederick, Maryland,21703-1458, United States",https://inventwood.com/,"Sep 3, 2016","Regina Williams, Director, Accounting","Regina Williams, Director, Accounting","Delaware, United States",Maryland 06
"Airgility, Inc.","AIRGILITY, INC",JD35KEUVYS94,84FZ5,"5145 Campus DR,Suite 1132,College Park, Maryland,20742-0001, United States","5145 Campus Drive,Suite 1132,College Park, Maryland,20742, United States",https://www.airgility.co/,"Apr 13, 2017","Pramod B Raheja, Mr.","Pramod B Raheja, Mr.","Delaware, United States",Maryland 04
Door Robotics,INFINITY ROBOTICS LLC,PAQ4J71FTNY1,98Z47,"5505 W 123RD ST,Door D STE 540,Savage, Minnesota,55378-1299, United States","5505 W 123RD ST,Door D STE 540,Savage, Minnesota,55378-1299, United States",https://infinityrobotics.com/,"Jul 9, 2019",David V Neville,David S Lacher,"Minnesota, United States",Minnesota 02
Games for Change,"GAMES FOR CHANGE, INC.",DF9JAM815C18,6GZR3,"335 Madison AVE STE 4L,New York, New York,10017-4611, United States","335 Madison AVE STE 4L,New York, New York,10017-4611, United States",https://www.gamesforchange.org/,"Jun 8, 2004",Kimberly Almanzor,Kimberly Almanzor,"New York, United States",New York 12
Games for Change,MTB-CHANGE CREATORS CORP,Z4JHKKDL1484,9VXW6,"250 University BLVD,Indianapolis, Indiana,46202-5137, United States","319 N West ST,APT 117,Indianapolis, Indiana,46202-5137, United States",,"Nov 17, 2023","Matthew Crenshaw, CEO","Matthew Crenshaw, CEO","Indiana, United States",Indiana 07
Games for Change,ORIENT STAR LOGISTICS SERVICES,J4RUKKDQJ9R6,A933X,"Suliman Al Nabulsi STREET, Building N. 51,Amman,(blank), Jordan","Suliman Al Nabulsi STREET, Building N. 51, First Floor,Amman,11190, Jordan",,"Aug 28, 2018","WISSAM AL MAJALI, CEO","WISSAM AL MAJALI, CEO","(blank), Jordan",Not Applicable
Games for Change,NORTHSTAR FAMILY LLC,HKH1GE19N696,9JR67,"26703 Chianina DR,Wesley Chapel, Florida,33544-3275, United States","26703 Chianina DR,Wesley Chapel, Florida,33544-3275, United States",,"Sep 21, 2021","ADRIAN SAMUEL, CEO","ADRIAN SAMUEL, CEO","Florida, United States",Florida 12
Games for Change,JAMAL AL KHASHAN GENERAL TRADING AND CONTRACTING COMPANY WLL,N5XMSCWFVFA7,SBRX9,"Street No 72, Boubyan COMPLEX, Office NO. 24, Dajeej,Kuwait,(blank), Kuwait","Street No 72, Boubyan COMPLEX, Office NO. 24, Dajeej,Kuwait, Farwaniya,(blank), Kuwait",,"Jun 18, 2007","JOY JOHN, Mr","JOY JOHN, Mr","(blank), Kuwait",Not Applicable
MPLEX,,,,"6899 PEACHTREE INDUSTRIAL BLVD,BERKELEY LAKE, GA,30092-3621, USA",,,,,,,
Quidient,"QUIDIENT, LLC",Z4Z7DHN15824,7N7H3,"7012 Sycamore LN,Easton, Maryland,21601-9708, United States","7142 Columbia Gateway Drive,Suite 140,Columbia, Maryland,21046, United States",https://www.quidient.com/,"May 29, 2014","Brandon B Turley, Director Ops & CFO","Christopher Dorsey, General Counsel & CIPO","Delaware, United States",Maryland 01
AMPX Technologies Inc.,"AMPX TECHNOLOGIES, INC.",J1T8EM6N9AE5,81C97,"4467 Technology Drive RM 3125,College Park, Maryland,20742-0001, United States","4467 Technology DR RM 3125,College Park, Maryland,20742, United States",,"Jan 18, 2018",Alireza Khaligh,Zeyu Zhang,"Maryland, United States",Maryland 04
"Electro-Media Design, Ltd.",ELECTRO-MEDIA DESIGN LTD,FRDDXKG3BDJ9,07EP7,"973 Russell AVE,STE C,Gaithersburg, Maryland,20879-3292, United States","973 Russell AVE STE C,Gaithersburg, Maryland,20879-3292, United States",http://www.electro-media.com/,"Jan 1, 1990",Robert C Hendricks,Robert Hendricks,"Maryland, United States",Maryland 06
Tailored fit,,,,"3706 S PINE ST,TACOMA, WA,98409-5707, USA",,,,,,,
"Hale, Inc.",MITCHEL HALE,QYFXK39P79K6,53RF4,"14230 Al Highway 28,Linden, Alabama,36748-3585, United States","14230 AL. HWY. 28,Linden, Alabama,36748-3585, United States",,"Jun 1, 2005",MELANIE M. HALE,MITCHEL J HALE,"Alabama, United States",Alabama 07
"Hale, Inc.",HALE FAMILY TRANSPORT LLC,HZ2FBMGTM7Z3,9QF55,"1299 93RD ST,Niagara Falls, New York,14304-2607, United States","1299 93RD ST,Niagara Falls, New York,14304-2607, United States",,"Jul 8, 2020","Gordon W hale, owner","Gordon W hale, owner","New York, United States",New York 26
"Hale, Inc.",CITY OF PLANTERSVILLE,C65XDGN67JV7,8U3M0,"12110 Hale LN,Plantersville, Texas,77363-7808, United States","12110 Hale Lane,Plantersville, Texas,77363-7808, United States",,"May 15, 2017","Karen Hale, Mayor","Karen Hale, Mayor","(blank), (blank)",Texas 10
"Hale, Inc.",HALE TECH LLC,ZLB1TLA6MRB9,05C32,"806 City Center BLVD,Newport News, Virginia,23606-2899, United States","806 City Center BLVD,Newport News, Virginia,23606-2899, United States",https://www.hale-tech.com/,"Nov 20, 2015","Daniel Hale, CEO","Daniel Hale, CEO","Virginia, United States",Virginia 03
"Hale, Inc.","HALE, ARVEL M.",R5K1HDJJMT74,340P1,"610 South 96TH AVE,Yakima, Washington,98908-9742, United States","610 S 96TH AVE,Yakima, Washington,98908-9742, United States",,"Jan 1, 1993","Arvel M Hale, Mr","Arvel M Hale, Mr","Washington, United States",Washington 04
Custom Spray Solutions,"ZERO TOLERANCE SNOW AND ICE SOLUTIONS, LLC",ETPGJ21BMMA4,91ZQ4,"900 N Nelson ST,Spokane, Washington,99202-6007, United States","900 N Nelson ST,Spokane, Washington,99202-6007, United States",,"Oct 1, 2019","Bryce Lund, Office Manager","Bryce Lund, President","Washington, United States",Washington 05
Custom Spray Solutions,AMERICAN SANITARY PRODUCTS INC,X248KNBLER81,0XN92,"10115 W Van Buren ST,STE C6,Tolleson, Arizona,85353-9602, United States","10115 W Van Buren,STE C6,Tolleson, Arizona,85353-9602, United States",https://www.americansanitaryproducts.us/,"May 15, 1991","Mary :Lockwood, Office Manager","Joe Sutton, Business Development Director","Maryland, United States",Arizona 07
"Vortex Space Systems, LLC","VORTEX SPACE SYSTEMS, LLC",M2A2NQ91DNM9,8LWZ1,"24225 Welsh RD,Gaithersburg, Maryland,20882-3929, United States","24225 Welsh RD,Gaithersburg, Maryland,20882, United States",,"Dec 31, 2018","Dennis S. Lee, Owner","Dennis S. Lee, Owner","Maryland, United States",Maryland 06
"Vortex Space Systems, LLC",BH MECHANICAL INC,RCNJCBMWPTR5,9YGY5,"4954 Via Cinta,San Diego, California,92122-3905, United States","4954 Via Cinta,San Diego , California,92122, United States",https://www.bhhvac.com/,"Jan 1, 2016","Yinon Barzilai, Business Owner","Yinon Barzilai, Business Owner","California, United States",California 51
"Vortex Space Systems, LLC",BILLI AL,CAAVCVAX5CB5,A0MMH,"Njesia NR.5, Rruga E Kosovareve,Ndertesa 35,Tirana,1019, Albania","Njesia NR.5, Rruga E Kosovareve,Ndertesa 35,Tirana,1019, Albania",https://www.billial.al/,"Jul 21, 1998",Luis Cenolli,Sybi Cenolli,"(blank), Albania",Not Applicable
"Vortex Space Systems, LLC","CONFIDENT CONTROLS USA, INC",J8Q4WM71NQ79,3CDX7,"4930 West Chester Pike STE 104,Newtown Square, Pennsylvania,19073-2928, United States","Fieldstone Building,4930 West Chester Pike,Newtown Square, Pennsylvania,19073-2928, United States",,"May 27, 2003","ANTONIA E O'Keefe, president","CHARLES J O'Keefe, vice president","Pennsylvania, United States",Pennsylvania 05
"Vortex Space Systems, LLC",LOGISTICUS SOLUTIONS LLC,JE73GETCNKQ8,7YNF8,"2735 Lauren Lake DR,Shiloh, Illinois,62221-8627, United States","2735 Lauren Lake DR,Shiloh, Illinois,62221-8627, United States",,"Feb 3, 2011","Vonzetta M Thomas, Owner","Jerry Thomas, Owner","Virginia, United States",Illinois 13
"Campostella Research and Consulting, LLC",CAMPOSTELLA RESEARCH AND CONSULTING LLC,YPL3PSFKSJ49,(blank),"134 Ike DR,Alexandria, Virginia,22314-4594, United States","134 Ike DR,Alexandria, Virginia,22314-4594, United States",,"May 18, 2020",Eva M Campo,Eva M Campo,"Virginia, United States",Virginia 08
Michelle Bailey,ME TIME T-TIME LLC,V3QRHPPVW6L5,9LAT2,"W1621 Fox Ridge RD,Keshena, Wisconsin,54135-9313, United States","PO Box 1005,Keshena, Wisconsin,54135-0961, United States",,"Nov 19, 2021",Michelle Bailey,Michelle Bailey,"Wisconsin, United States",Wisconsin 08
Michelle Bailey,"CREATIVE ENGINEERING SOLUTIONS, INC.",EMVEJLTFM6J1,9CRD1,"602 N Capitol AVE STE 200,Indianapolis, Indiana,46204-1365, United States","PO Box 11126,Indianapolis, Indiana,46201, United States",,"Sep 1, 2021","Michelle Bailey, Office Administrator","Michelle Bailey, Office Administrator","Indiana, United States",Indiana 07
Michelle Bailey,"PURECOAT INTERNATIONAL, LLC",K8C7RSN4NXL5,0WHR1,"3301 Electronics WAY STE B,West Palm Beach, Florida,33407-4636, United States","3301 Electronics WAY,West Palm Beach, Florida,33407-4636, United States",https://www.purecoat.com/,"Jul 1, 1997","Ronald Keohan, MR",Michelle Bailey,"Florida, United States",Florida 20
Michelle Bailey,"PURECOAT NORTH, LLC",NDA2HP4W8YN6,4AVM9,"39 Hittinger ST,Belmont, Massachusetts,02478-4039, United States","3301 Electronics WAY,Suite B,West Palm Beach, Florida,33407-4636, United States",https://purecoatnorth.com/,"Dec 6, 2002",Michelle Bailey,Thomas Mahoney,"Massachusetts, United States",Massachusetts 05
Michelle Bailey,,,,,,,,,,,
"Repurpose Farm Plastic, Inc.",,,,"108 LAKELAND AVE,DOVER, DE,19901-5109, USA",,,,,,,
