keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contact1,contact2,state_country_incorporation,congressional_district
"Sommos, Inc.",,,,"AVENIDA ALMIRANTE BARROSO 00091 SAL 507 SAL 508,CENTRO,RIO DE JANEIRO,20031-916, BRA",,,,,,,
"BEIT, Inc.",WOMEN OF THE SUN,G7W3FKBL6QL8,SNBR0,"Dco -BEIT Jala Street,Bethlehem City,00972, West Bank","Dco -BEIT Jala Street,Beit Jala - Bethlehem City,00972, West Bank",https://womensun.org/,"Feb 22, 2022","Reem Hajajreh, MRS","Reem Hajajreh, MRS","(blank), West Bank",Not Applicable
"BEIT, Inc.",,,,"PARCEL NO. 28, OF PLOT NO. 1758, BUILDING NO. 2940/35, SHAIMAA ST.,BEIT LAHIA, North Gaza,(blank), XGZ",,,,,,,
"BEIT, Inc.",BEIT ALMUSICA SHEFAAMR (R.A),W8XNSSLJE4M4,4384A,"14 Patriarch Clement Bahouth,Shefaamr,(blank), Israel","Pob 787,Shefaram,2020000, Israel",,"May 31, 1999",Amer Nakhleh,Amer Nakhleh,"(blank), Israel",Not Applicable
"BEIT, Inc.",,,,"SHUFAT 14,JERSUALEM,(blank), ISR",,,,,,,
"BEIT, Inc.",,,,"3131 CHEW ST,ALLENTOWN, PA,18104-5317, USA",,,,,,,
1eq Inc.,JME LTD,NBNLKQ5FHEX6,U07Z9,"Electron House,Old Nelson Street,Lowestoft,NR32 1EQ, United Kingdom","Electron House,Old Nelson Street,Lowestoft, Suffolk,NR32 1EQ, United Kingdom",https://www.jme.co.uk/,"Aug 26, 1986","JAMES DENTON, MR",JAMES DENTON,"(blank), United Kingdom",Not Applicable
"DOT Consulting, LLC",RED DOT CONSULTING LLC,R8KRXTVXTPS5,9FZL7,"2506 Coulter LN,Oakton, Virginia,22124-1033, United States","2506 Coulter LN,Oakton, Virginia,22124-1033, United States",https://www.rdc-i.com/,"Jul 22, 2021","John Barrass, President","John Barrass, President","Virginia, United States",Virginia 11
"DOT Consulting, LLC",PALE BLUE DOT CONSULTING LLC,JJUEEJRH5RG5,9YWA6,"8214 Riverboat DR,Tampa, Florida,33637-6577, United States","1630 58THE Avenue S APT 1,Saint Petersburg, Florida,33712, United States",https://pbdcs.com/,"Mar 14, 2024","Ryan C Countess, Chief Operating Officer","Eesa G Ali, Chief Executive Officer","Florida, United States",Florida 15
"DOT Consulting, LLC",,,,"59 HOOD STREET #2,LYNN, MA,01905-2100, USA",,,,,,,
"DOT Consulting, LLC",,,,"20 PARK PLZ STE 1118,null,BOSTON, MA,02116, USA",,,,,,,
"DOT Consulting, LLC",DANA TERRY,MZNEWKJ4ZZ91,9V1N2,"52 4 Dot LN,Belgrade, Montana,59714-7560, United States","52 4 Dot LN,Belgrade, Montana,59714-7560, United States",,"Mar 1, 2024",Dana Terry,Dana Terry,"Montana, United States",Montana 01
"Edessa, Inc.",,,,"42525 Edessa St,Palm Desert, CA,92211-0976, USA",,,,,,,
E-Pulse/Telliscope,"PRN ASSOCIATES, INCORPORATED",S69ZMP9NM5U9,3BXG8,"7601 E 88TH PLACE, #5,Indianapolis, Indiana,46256-1299, United States","7601 E 88TH PLACE, #5,Indianapolis, Indiana,46256-1299, United States",,,,,,
E-Pulse/Telliscope,EASTERN GATEWAY COMMUNITY COLLEGE,F5WDD45CME36,0NGM8,"110 John Scott HWY,Steubenville, Ohio,43952-3000, United States","110 John Scott Highway,Steubenville, Ohio,43952, United States",,,,,,
E-Pulse/Telliscope,"SPECIAL COMMUNICATIONS, LLC",JXZVBZ8FZJL6,1QQG2,"2838 Croix CT,Virginia Beach, Virginia,23451-1365, United States","2838 Croix CT,Virginia Beach, Virginia,23451-1365, United States",,,,,,
E-Pulse/Telliscope,JOURMIK LLC,ZYPETGFPAXN9,93S35,"13-53 Sunnyside DR,Fair Lawn, New Jersey,07410-4237, United States","13-53 Sunnyside DR,Fair Lawn, New Jersey,07410-4237, United States",,,,,,
E-Pulse/Telliscope,"ORRS' ENVIRONMENTAL, LLC",M1LHWD15KHJ6,301F8,"7027 Old Madison Pike NW STE 108,Huntsville, Alabama,35806, United States","P.O. Box 21192,Huntsville, Alabama,35813, United States",,,,,,
